OTU	Size	Taxonomy	taxname	phylum
Otu00036	19923	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);unclassified(100);unclassified(100);	Otu00036_Clostridiales	Firmicutes
Otu00037	9838	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(51);	Otu00037_Clostridium_XlVa	Firmicutes
Otu00038	18113	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);	Otu00038_Clostridium_XlVa	Firmicutes
Otu00039	15462	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu00039_Blautia	Firmicutes
Otu00040	26162	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);	Otu00040_Dialister	Firmicutes
Otu00041	15999	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);	Otu00041_Clostridium_XlVa	Firmicutes
Otu00042	18228	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);	Otu00042_Ruminococcus	Firmicutes
Otu00043	27510	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu00043_Lactobacillus	Firmicutes
Otu00044	26030	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);	Otu00044_Flavonifractor	Firmicutes
Otu00045	60746	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu00045_Lactobacillus	Firmicutes
Otu00046	32846	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);unclassified(98);	Otu00046_Pasteurellaceae	Proteobacteria
Otu00047	9891	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(63);	Otu00047_Ruminococcus2	Firmicutes
Otu00048	25423	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(99);	Otu00048_Subdoligranulum	Firmicutes
Otu00049	17151	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(100);	Otu00049_Ruminococcaceae	Firmicutes
Otu00050	22188	Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);	Otu00050_Bacteria	unclassified
Otu00051	15242	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(98);	Otu00051_Clostridium_XlVa	Firmicutes
